fecha,estado,producto,precio_kg,mercado,tipo_alimentacion,demanda,oferta,inflacion,temperatura,ventas
2022-01-24,Querétaro,bistec,253,tradicional,engorda_corral,media,media,"8,84",15,172
2021-03-16,Coahuila,arrachera,311,central_abasto,engorda_corral,alta,baja,"5,43",31,228
2023-12-26,Querétaro,bistec,238,digital,mixto,alta,alta,"9,02",18,170
2022-01-12,Jalisco,carne_molida,186,central_abasto,mixto,baja,baja,"6,52",13,298
2024-10-02,Yucatán,sirloin,307,tradicional,mixto,media,media,"3,56",32,150
2021-07-14,Jalisco,costilla,228,tradicional,mixto,media,alta,"5,54",19,96
2022-01-03,Veracruz,sirloin,340,central_abasto,pastoreo,alta,baja,"9,21",23,152
2022-07-30,Nuevo León,costilla,279,tradicional,mixto,muy_alta,baja,"9,08",18,128
2023-03-18,Oaxaca,carne_molida,190,central_abasto,pastoreo,muy_alta,alta,"8,91",10,70
2022-02-14,Sinaloa,carne_molida,212,tradicional,engorda_corral,muy_alta,alta,"6,34",11,255
2024-01-29,Veracruz,costilla,278,digital,engorda_corral,muy_alta,alta,"9,18",24,125
2023-10-08,Jalisco,carne_molida,217,digital,pastoreo,media,baja,"9,16",29,219
2022-01-05,Nuevo León,costilla,274,tradicional,engorda_corral,muy_alta,baja,"4,64",18,157
2022-06-16,Guanajuato,bistec,254,digital,mixto,muy_alta,alta,"6,67",22,64
2022-11-07,Puebla,costilla,251,digital,mixto,baja,baja,"5,7",28,112
2023-08-28,Querétaro,bistec,238,digital,pastoreo,media,baja,"6,07",15,271
2022-03-17,Sinaloa,carne_molida,186,tradicional,engorda_corral,muy_alta,alta,"9,17",10,44
2021-01-01,Nuevo León,arrachera,277,tradicional,mixto,muy_alta,alta,"9,38",20,277
2023-03-08,Michoacán,bistec,198,central_abasto,pastoreo,media,alta,"6,86",28,59
2023-01-09,Yucatán,sirloin,302,central_abasto,engorda_corral,baja,media,"5,9",25,246
2023-11-10,Nuevo León,costilla,275,digital,pastoreo,alta,media,"8,79",14,215
2024-05-12,Sonora,sirloin,246,central_abasto,pastoreo,baja,alta,"7,83",18,236
2024-03-30,CDMX,bistec,251,tradicional,engorda_corral,alta,media,"3,7",21,242
2022-05-29,Veracruz,carne_molida,194,digital,engorda_corral,baja,alta,"6,3",20,297
2022-03-16,Guanajuato,bistec,259,supermercado,pastoreo,media,baja,"8,04",33,172
2021-11-15,Sonora,arrachera,291,digital,pastoreo,muy_alta,alta,"6,07",10,162
2024-07-28,Guanajuato,carne_molida,195,central_abasto,pastoreo,muy_alta,media,"8,41",24,175
2024-08-12,Coahuila,sirloin,307,central_abasto,pastoreo,baja,baja,"3,95",20,148
2022-12-02,Puebla,costilla,262,central_abasto,mixto,baja,baja,"4,64",13,250
2022-09-12,Yucatán,arrachera,262,digital,engorda_corral,baja,alta,"4,89",22,107
2024-01-10,Jalisco,sirloin,294,digital,pastoreo,baja,baja,"7,27",25,118
2022-06-13,CDMX,carne_molida,213,digital,mixto,alta,media,"8,88",38,102
2022-06-26,Oaxaca,sirloin,326,central_abasto,pastoreo,muy_alta,baja,"8,91",17,108
2022-06-07,Jalisco,arrachera,325,digital,engorda_corral,alta,baja,"7,15",34,162
2023-08-16,Guanajuato,arrachera,287,digital,engorda_corral,baja,media,"8,99",23,120
2024-03-07,Puebla,carne_molida,250,supermercado,engorda_corral,alta,baja,"6,08",17,205
2024-02-16,Yucatán,sirloin,316,digital,engorda_corral,alta,alta,"6,21",35,117
2023-01-25,Oaxaca,bistec,206,digital,mixto,baja,alta,"3,74",11,151
2022-05-18,CDMX,arrachera,256,central_abasto,engorda_corral,baja,alta,"7,19",11,189
2022-06-10,Jalisco,arrachera,274,digital,pastoreo,alta,alta,"3,62",16,283
2022-11-02,Michoacán,arrachera,293,tradicional,engorda_corral,alta,baja,"3,71",19,127
2023-12-07,Guanajuato,costilla,221,supermercado,pastoreo,media,alta,"8,57",13,294
2024-08-02,Sinaloa,bistec,228,central_abasto,pastoreo,muy_alta,alta,"5,73",10,218
2023-10-06,Veracruz,arrachera,274,central_abasto,mixto,muy_alta,media,"3,69",26,53
2023-03-22,Yucatán,bistec,240,supermercado,pastoreo,alta,media,"6,09",14,194
2021-09-19,Guanajuato,sirloin,317,digital,pastoreo,alta,alta,"5,52",13,180
2022-03-04,Yucatán,bistec,241,digital,mixto,media,media,"7,97",31,173
2023-01-07,Michoacán,arrachera,281,supermercado,engorda_corral,baja,baja,"3,56",15,131
2023-07-04,Michoacán,costilla,292,supermercado,engorda_corral,alta,baja,"9,42",34,210
2022-01-24,Chiapas,arrachera,273,tradicional,engorda_corral,media,alta,"6,54",21,297
2023-12-05,CDMX,sirloin,328,central_abasto,pastoreo,muy_alta,alta,"8,8",15,93
2021-06-13,Coahuila,arrachera,271,tradicional,pastoreo,baja,baja,"3,9",34,184
2021-06-29,Puebla,arrachera,310,tradicional,mixto,media,baja,4,22,115
2024-06-28,Puebla,carne_molida,189,tradicional,pastoreo,media,alta,"3,69",31,130
2021-05-27,Sinaloa,costilla,264,central_abasto,mixto,alta,media,"7,94",20,103
2022-07-09,Michoacán,carne_molida,192,tradicional,pastoreo,media,media,"5,19",30,278
2024-11-24,Veracruz,costilla,248,tradicional,engorda_corral,alta,alta,"3,96",25,144
2021-05-16,Guanajuato,costilla,219,central_abasto,mixto,alta,alta,"9,38",27,66
2024-01-23,Veracruz,sirloin,337,supermercado,mixto,baja,baja,"6,62",20,201
2024-09-19,Jalisco,costilla,296,supermercado,mixto,alta,baja,"5,64",36,243
2021-12-03,Jalisco,costilla,304,supermercado,mixto,muy_alta,baja,"5,38",24,200
2022-02-02,Querétaro,sirloin,275,tradicional,engorda_corral,baja,alta,"8,23",10,116
2024-01-07,Jalisco,arrachera,294,digital,pastoreo,muy_alta,media,"7,94",21,299
2021-07-26,Sonora,costilla,264,digital,pastoreo,alta,media,"4,47",37,40
2022-08-27,Michoacán,carne_molida,183,central_abasto,mixto,baja,media,"8,57",34,153
2022-08-02,Veracruz,arrachera,285,tradicional,mixto,muy_alta,alta,"9,33",33,65
2023-02-08,Guanajuato,arrachera,318,supermercado,engorda_corral,alta,media,"6,29",12,226
2024-07-09,Jalisco,costilla,285,central_abasto,pastoreo,muy_alta,media,"8,64",34,158
2023-05-20,Michoacán,costilla,276,supermercado,pastoreo,muy_alta,media,"4,78",23,222
2021-08-23,Guanajuato,sirloin,359,digital,mixto,muy_alta,baja,"4,56",30,161
2023-05-02,Michoacán,sirloin,302,central_abasto,mixto,media,media,"6,47",19,68
2023-04-23,Sinaloa,sirloin,329,digital,engorda_corral,media,alta,"4,7",22,182
2022-04-02,Coahuila,arrachera,282,supermercado,pastoreo,alta,alta,"8,63",16,256
2021-10-04,Guanajuato,carne_molida,181,supermercado,mixto,baja,media,"8,92",23,87
2024-01-12,Jalisco,carne_molida,195,central_abasto,mixto,baja,media,"8,49",26,286
2024-09-11,Yucatán,costilla,277,digital,mixto,muy_alta,media,"3,85",28,170
2024-04-11,Coahuila,arrachera,298,digital,pastoreo,alta,baja,"4,8",38,77
2023-10-14,CDMX,costilla,221,central_abasto,mixto,media,alta,"7,78",26,59
2024-06-22,Puebla,carne_molida,211,supermercado,pastoreo,baja,baja,"3,64",35,268
2023-09-04,Puebla,bistec,229,supermercado,engorda_corral,baja,alta,"3,62",11,188
2022-11-04,Sonora,sirloin,320,tradicional,pastoreo,alta,media,"6,4",34,152
2021-01-31,Oaxaca,sirloin,358,supermercado,engorda_corral,muy_alta,baja,"4,52",37,184
2021-04-05,CDMX,costilla,273,supermercado,pastoreo,alta,baja,"7,27",24,210
2022-03-27,Coahuila,carne_molida,240,supermercado,engorda_corral,media,baja,"5,82",11,90
2021-11-19,Sinaloa,carne_molida,172,digital,mixto,baja,alta,"8,75",29,261
2021-07-02,Sonora,costilla,272,central_abasto,engorda_corral,alta,baja,"7,28",28,85
2024-01-21,Nuevo León,arrachera,294,central_abasto,pastoreo,alta,media,"8,84",36,218
2022-10-06,Sonora,carne_molida,225,central_abasto,pastoreo,muy_alta,baja,"4,26",14,197
2022-08-17,Michoacán,carne_molida,217,tradicional,mixto,alta,media,"6,63",15,49
2021-04-30,Sonora,costilla,256,digital,engorda_corral,baja,media,"4,32",20,257
2021-07-02,Veracruz,arrachera,304,digital,mixto,media,baja,"7,81",27,203
2023-09-02,Michoacán,bistec,234,supermercado,pastoreo,baja,baja,"8,88",19,176
2021-05-22,Puebla,costilla,277,central_abasto,mixto,baja,baja,"6,62",13,266
2021-03-23,Michoacán,carne_molida,202,supermercado,engorda_corral,baja,alta,"8,61",18,147
2023-11-16,CDMX,sirloin,295,digital,engorda_corral,baja,media,"5,57",31,278
2021-09-26,CDMX,bistec,264,central_abasto,mixto,muy_alta,baja,"6,14",36,260
2024-05-21,Sinaloa,costilla,286,central_abasto,engorda_corral,muy_alta,media,"9,45",29,234
2022-12-11,Veracruz,carne_molida,218,digital,mixto,muy_alta,alta,"6,49",15,183
2024-05-02,Chiapas,arrachera,266,tradicional,pastoreo,baja,baja,"8,69",31,59
2024-06-29,Oaxaca,costilla,276,central_abasto,engorda_corral,alta,baja,"9,04",11,297
2023-10-17,Coahuila,costilla,301,digital,engorda_corral,media,baja,"6,09",26,110
2021-02-10,Michoacán,costilla,247,central_abasto,pastoreo,media,baja,"8,59",18,198
2024-04-08,Nuevo León,carne_molida,213,tradicional,pastoreo,muy_alta,baja,"3,78",26,68
2021-10-14,Yucatán,costilla,241,tradicional,mixto,alta,baja,"5,68",10,80
2023-01-19,Guanajuato,sirloin,374,supermercado,mixto,muy_alta,baja,"9,34",30,269
2021-01-13,Sinaloa,sirloin,286,tradicional,pastoreo,baja,media,"7,81",22,272
2023-10-13,Nuevo León,bistec,251,central_abasto,mixto,muy_alta,baja,"3,66",38,231
2024-12-17,Jalisco,arrachera,275,tradicional,engorda_corral,muy_alta,alta,"5,11",16,274
2022-12-06,Nuevo León,costilla,272,digital,engorda_corral,alta,alta,"8,23",31,240
2022-10-07,Coahuila,arrachera,255,tradicional,mixto,muy_alta,alta,"8,17",33,113
2022-06-03,Veracruz,arrachera,321,digital,mixto,muy_alta,media,"3,93",29,244
2021-10-08,Michoacán,carne_molida,229,digital,engorda_corral,muy_alta,media,"6,97",10,82
2023-05-09,Sinaloa,arrachera,315,digital,mixto,muy_alta,baja,"8,99",12,52
2021-10-06,Guanajuato,arrachera,325,supermercado,engorda_corral,muy_alta,alta,"5,25",28,128
2023-03-29,Oaxaca,carne_molida,231,central_abasto,pastoreo,muy_alta,baja,"4,27",32,134
2021-11-04,Michoacán,bistec,223,central_abasto,engorda_corral,media,media,"7,14",33,83
2023-03-11,Guanajuato,costilla,245,central_abasto,mixto,baja,baja,"8,7",24,65
2024-12-09,Oaxaca,bistec,260,supermercado,engorda_corral,muy_alta,alta,"6,11",35,271
2021-10-12,Coahuila,arrachera,303,central_abasto,mixto,muy_alta,baja,"4,46",11,106
2021-12-12,CDMX,costilla,205,tradicional,pastoreo,baja,alta,"6,24",30,143
2023-05-06,Puebla,sirloin,303,tradicional,mixto,muy_alta,alta,"6,68",19,216
2023-05-15,Nuevo León,costilla,298,supermercado,mixto,media,baja,"9,27",16,107
2022-11-13,Michoacán,carne_molida,214,supermercado,engorda_corral,media,baja,"4,69",20,273
2023-05-14,Sonora,arrachera,311,digital,engorda_corral,alta,media,"6,11",32,113
2022-07-26,Coahuila,arrachera,293,digital,mixto,media,baja,"5,53",24,214
2023-10-02,Sonora,carne_molida,201,central_abasto,mixto,muy_alta,alta,"6,63",19,107
2021-08-06,Sonora,carne_molida,247,supermercado,mixto,alta,baja,"8,52",22,222
2023-06-18,Michoacán,bistec,206,digital,engorda_corral,media,alta,"9,2",10,246
2024-08-23,Veracruz,arrachera,277,supermercado,pastoreo,media,media,"4,43",34,97
2022-05-05,Puebla,sirloin,325,digital,pastoreo,muy_alta,alta,"6,37",28,124
2022-10-30,Coahuila,arrachera,301,supermercado,pastoreo,alta,baja,"4,91",21,251
2023-11-29,Nuevo León,carne_molida,175,central_abasto,mixto,alta,alta,"3,58",30,203
2021-01-28,Michoacán,arrachera,300,central_abasto,mixto,alta,media,"5,88",16,52
2021-04-23,Nuevo León,sirloin,305,tradicional,pastoreo,muy_alta,alta,"4,53",13,144
2023-12-27,Veracruz,costilla,242,supermercado,mixto,media,alta,"8,78",17,265
2021-06-21,Querétaro,sirloin,293,tradicional,mixto,baja,media,"4,73",33,220
2022-05-12,Guanajuato,bistec,187,central_abasto,mixto,baja,alta,"3,79",34,179
2021-09-14,Guanajuato,arrachera,261,tradicional,engorda_corral,baja,baja,"6,04",37,65
2022-06-28,Puebla,bistec,265,tradicional,mixto,muy_alta,baja,"7,14",36,248
2023-02-25,CDMX,carne_molida,204,supermercado,engorda_corral,baja,baja,"4,69",16,182
2022-01-09,Jalisco,costilla,248,tradicional,mixto,alta,alta,"3,73",16,64
2024-03-20,Sinaloa,arrachera,243,central_abasto,pastoreo,baja,alta,"5,6",31,112
2023-09-21,Querétaro,costilla,269,digital,mixto,muy_alta,media,"5,12",26,225
2022-08-06,Jalisco,bistec,232,supermercado,mixto,baja,baja,"8,64",21,104
2022-09-12,CDMX,sirloin,330,central_abasto,engorda_corral,alta,alta,"5,01",12,94
2022-09-03,Nuevo León,sirloin,296,tradicional,pastoreo,alta,media,"5,35",15,93
2021-03-02,Puebla,carne_molida,207,central_abasto,pastoreo,muy_alta,media,"5,17",22,235
2023-12-13,Sonora,carne_molida,217,tradicional,engorda_corral,alta,alta,"7,24",29,94
2021-11-02,Oaxaca,carne_molida,202,supermercado,engorda_corral,baja,baja,"5,73",38,97
2022-05-02,Jalisco,bistec,215,digital,mixto,baja,baja,"5,4",22,283
2021-05-21,Sonora,bistec,225,digital,mixto,alta,media,"8,99",15,62
2022-03-03,Oaxaca,sirloin,276,digital,pastoreo,media,alta,"5,06",12,131
2024-02-18,Veracruz,carne_molida,216,supermercado,pastoreo,muy_alta,alta,"9,02",23,218
2022-08-12,Veracruz,sirloin,326,supermercado,pastoreo,baja,baja,"5,58",20,153
2023-02-21,Sinaloa,bistec,246,supermercado,pastoreo,alta,baja,"7,02",23,189
2021-12-20,CDMX,costilla,283,tradicional,engorda_corral,alta,media,"8,92",14,65
2021-05-13,Oaxaca,arrachera,325,digital,mixto,muy_alta,media,"9,18",26,138
2022-08-10,Michoacán,carne_molida,238,central_abasto,engorda_corral,baja,baja,"7,09",29,121
2022-04-02,Puebla,costilla,240,central_abasto,mixto,alta,media,"6,75",23,93
2021-10-02,Chiapas,costilla,251,supermercado,mixto,baja,alta,"3,98",22,123
2022-06-20,CDMX,costilla,277,supermercado,mixto,muy_alta,media,"9,1",29,108
2023-11-18,Querétaro,bistec,215,supermercado,pastoreo,media,alta,"7,75",38,257
2022-12-23,CDMX,carne_molida,243,digital,pastoreo,alta,baja,"6,57",20,147
2021-12-09,Michoacán,carne_molida,201,tradicional,pastoreo,alta,media,"5,17",24,84
2024-01-09,CDMX,bistec,252,digital,mixto,alta,media,"9,06",20,294
2021-02-01,Querétaro,costilla,219,digital,engorda_corral,baja,alta,"7,26",13,265
2021-06-30,Jalisco,bistec,297,supermercado,engorda_corral,alta,baja,"6,65",24,203
2021-10-09,Nuevo León,arrachera,279,supermercado,pastoreo,alta,alta,"5,29",11,265
2023-06-24,Puebla,sirloin,300,digital,mixto,baja,alta,"8,02",12,164
2022-05-11,CDMX,sirloin,368,supermercado,engorda_corral,alta,media,"4,32",34,230
2023-11-08,Jalisco,carne_molida,210,central_abasto,pastoreo,muy_alta,media,"7,64",35,269
2021-06-04,Guanajuato,costilla,269,digital,engorda_corral,muy_alta,alta,"5,6",37,220
2024-05-25,Veracruz,costilla,280,supermercado,engorda_corral,alta,baja,"8,9",33,142
2022-10-31,Chiapas,carne_molida,205,tradicional,engorda_corral,alta,alta,"7,99",34,194
2021-03-13,Querétaro,sirloin,319,central_abasto,mixto,alta,baja,"7,75",24,258
2022-11-13,CDMX,arrachera,274,central_abasto,mixto,baja,baja,"7,5",22,92
2022-03-16,Yucatán,sirloin,299,tradicional,pastoreo,baja,alta,"6,8",19,69
2022-03-07,Nuevo León,sirloin,341,central_abasto,mixto,muy_alta,baja,"9,28",20,72
2022-07-16,CDMX,sirloin,301,digital,pastoreo,baja,baja,"9,23",25,246
2021-10-19,Guanajuato,sirloin,281,tradicional,mixto,media,alta,"6,78",29,235
2023-09-16,Chiapas,costilla,263,supermercado,engorda_corral,media,media,"5,17",13,233
2022-04-12,Veracruz,bistec,224,tradicional,pastoreo,media,media,"6,42",29,298
2023-04-01,Chiapas,costilla,231,central_abasto,mixto,baja,baja,"8,47",15,137
2023-02-25,Oaxaca,sirloin,309,central_abasto,engorda_corral,alta,media,"4,91",11,97
2022-09-17,CDMX,carne_molida,221,digital,pastoreo,media,baja,"7,26",17,187
2022-09-17,Guanajuato,bistec,234,digital,engorda_corral,baja,media,"5,76",37,206
2021-04-17,Oaxaca,bistec,240,supermercado,mixto,media,alta,"8,66",16,262
2024-08-15,Chiapas,bistec,206,central_abasto,pastoreo,baja,media,"7,18",17,156
2022-04-30,Sonora,sirloin,324,central_abasto,engorda_corral,alta,media,"4,52",18,202
2021-08-26,Yucatán,costilla,242,supermercado,mixto,baja,alta,"7,18",30,95
2021-04-29,Coahuila,carne_molida,219,supermercado,engorda_corral,media,alta,"8,65",17,111
2021-04-11,Oaxaca,costilla,249,central_abasto,engorda_corral,media,alta,"9,24",18,58
2021-06-19,Nuevo León,bistec,262,supermercado,engorda_corral,media,baja,"7,22",36,83
2023-09-15,Oaxaca,bistec,223,digital,engorda_corral,baja,media,"4,16",24,124
2021-10-04,Sinaloa,sirloin,365,supermercado,mixto,media,baja,"5,17",24,270
2023-10-10,Yucatán,carne_molida,163,central_abasto,pastoreo,baja,alta,"6,44",20,72
2021-04-14,Veracruz,arrachera,261,supermercado,pastoreo,media,alta,"5,12",18,229
2021-05-26,Chiapas,sirloin,291,tradicional,engorda_corral,baja,alta,"4,5",10,216
2024-01-20,CDMX,costilla,249,central_abasto,pastoreo,alta,baja,"4,15",21,93
2022-12-12,Coahuila,sirloin,310,digital,pastoreo,media,alta,"9,45",18,268
2021-04-01,Veracruz,costilla,253,tradicional,pastoreo,media,baja,"6,18",28,219
2023-08-15,Puebla,arrachera,281,tradicional,pastoreo,media,baja,"4,65",24,276
2024-03-08,Guanajuato,costilla,268,central_abasto,engorda_corral,baja,media,"6,48",24,216
2022-12-09,Sinaloa,sirloin,303,tradicional,engorda_corral,media,baja,"6,85",19,43
2022-03-11,Oaxaca,sirloin,307,central_abasto,engorda_corral,alta,alta,"4,81",36,300
2024-11-27,Nuevo León,carne_molida,176,central_abasto,mixto,baja,alta,"8,87",15,188
2023-04-04,Guanajuato,bistec,245,digital,mixto,muy_alta,alta,"5,83",13,270
2021-04-15,Veracruz,sirloin,383,supermercado,engorda_corral,muy_alta,baja,"6,27",36,111
2021-03-31,Sinaloa,costilla,263,digital,mixto,muy_alta,alta,"4,07",29,126
2022-05-06,Coahuila,sirloin,331,supermercado,mixto,alta,baja,"4,97",31,102
2024-06-29,Chiapas,arrachera,290,digital,engorda_corral,alta,alta,"4,32",14,46
2024-11-22,Yucatán,sirloin,339,tradicional,engorda_corral,muy_alta,alta,"6,38",33,249
2024-04-13,Michoacán,sirloin,295,central_abasto,pastoreo,media,alta,"8,18",28,83
2024-02-10,Nuevo León,carne_molida,196,central_abasto,pastoreo,alta,media,"6,56",18,89
2021-08-22,Puebla,arrachera,312,tradicional,mixto,muy_alta,media,"6,92",16,229
2024-07-30,Oaxaca,costilla,244,digital,mixto,baja,media,"6,44",31,230
2021-12-07,Sinaloa,carne_molida,196,digital,pastoreo,baja,media,"4,26",23,263
2021-10-14,Sinaloa,costilla,222,tradicional,pastoreo,baja,baja,"3,66",29,108
2023-09-03,Sinaloa,sirloin,301,tradicional,pastoreo,media,media,"9,36",18,128
2024-06-13,Michoacán,bistec,259,digital,pastoreo,media,baja,"8,35",13,181
2022-12-10,Michoacán,sirloin,333,tradicional,pastoreo,muy_alta,media,"4,76",10,187
2023-05-20,Jalisco,bistec,235,digital,pastoreo,baja,baja,"5,84",35,148
2022-03-16,Guanajuato,arrachera,293,central_abasto,mixto,muy_alta,media,"4,12",11,120
2021-08-24,CDMX,bistec,239,central_abasto,pastoreo,muy_alta,media,"9,49",38,107
2023-10-29,Guanajuato,bistec,215,tradicional,pastoreo,alta,alta,"7,13",31,282
2021-01-14,Chiapas,costilla,272,supermercado,mixto,alta,media,"7,02",28,256
2023-03-30,Sinaloa,sirloin,331,central_abasto,mixto,media,baja,"3,62",22,140
2024-06-25,Coahuila,bistec,226,central_abasto,mixto,muy_alta,alta,"4,97",13,180
2021-02-07,Guanajuato,bistec,249,central_abasto,engorda_corral,alta,media,"7,89",36,270
2024-11-11,Querétaro,sirloin,290,supermercado,pastoreo,baja,baja,"4,33",31,67
2023-12-21,Nuevo León,arrachera,271,digital,engorda_corral,media,alta,"4,95",23,128
2023-04-16,Querétaro,costilla,240,tradicional,engorda_corral,muy_alta,alta,"7,19",11,87
2024-06-01,Puebla,costilla,260,central_abasto,pastoreo,muy_alta,baja,"8,76",12,211
2023-05-31,Sinaloa,arrachera,271,digital,pastoreo,media,media,"8,42",17,241
2022-01-11,Guanajuato,bistec,211,tradicional,mixto,baja,alta,"5,7",13,280
2023-05-19,Chiapas,costilla,265,tradicional,mixto,media,media,"5,28",19,40
2024-11-22,Guanajuato,carne_molida,210,central_abasto,mixto,muy_alta,baja,"5,52",16,281
2022-06-17,CDMX,carne_molida,207,supermercado,engorda_corral,baja,alta,"8,78",12,156
2023-03-10,Yucatán,sirloin,320,digital,engorda_corral,media,media,"9,44",31,119
2024-07-19,Yucatán,costilla,257,supermercado,pastoreo,baja,media,"8,71",27,292
2024-04-10,Jalisco,bistec,257,supermercado,pastoreo,muy_alta,baja,"8,8",30,294
2024-09-25,Coahuila,arrachera,281,supermercado,pastoreo,media,media,"6,65",26,122
2024-03-30,Puebla,arrachera,320,supermercado,engorda_corral,media,baja,"6,02",25,183
2021-09-20,Puebla,bistec,228,tradicional,pastoreo,muy_alta,alta,"5,33",22,266
2023-04-26,Puebla,bistec,220,central_abasto,mixto,alta,alta,"8,78",20,165
2023-08-31,Nuevo León,sirloin,315,digital,engorda_corral,alta,media,"3,63",33,264
2024-02-17,Nuevo León,arrachera,300,supermercado,pastoreo,media,baja,"5,92",20,188
2024-09-03,Sinaloa,bistec,232,tradicional,mixto,muy_alta,media,"9,35",15,193
2023-06-14,Yucatán,bistec,209,supermercado,mixto,baja,media,"3,96",34,169
2022-04-25,Chiapas,sirloin,351,supermercado,engorda_corral,muy_alta,baja,"7,8",28,164
2021-07-14,Nuevo León,bistec,227,central_abasto,mixto,baja,baja,"9,25",27,247
2023-11-14,Jalisco,sirloin,291,central_abasto,engorda_corral,baja,alta,"5,74",36,187
2024-09-21,Veracruz,carne_molida,203,central_abasto,mixto,alta,alta,"6,93",23,185
2023-01-31,Puebla,costilla,275,supermercado,mixto,muy_alta,alta,"8,97",13,233
2022-09-28,Sonora,carne_molida,214,tradicional,engorda_corral,muy_alta,baja,"7,71",10,219
2023-05-02,Nuevo León,bistec,245,supermercado,mixto,muy_alta,alta,"5,4",26,197
2021-03-26,Chiapas,carne_molida,192,tradicional,pastoreo,muy_alta,media,"8,3",14,185
2021-01-05,Coahuila,carne_molida,198,tradicional,engorda_corral,baja,baja,"6,79",36,187
2023-06-10,Guanajuato,carne_molida,240,digital,pastoreo,alta,media,"6,99",12,162
2021-08-05,Puebla,carne_molida,222,supermercado,mixto,muy_alta,media,"7,48",36,111
2022-11-13,Michoacán,bistec,193,tradicional,pastoreo,alta,alta,"6,62",23,126
2022-06-19,Sonora,costilla,248,central_abasto,mixto,baja,baja,"4,06",35,136
2022-12-23,CDMX,costilla,275,digital,mixto,alta,media,"5,27",35,194
2022-01-12,CDMX,sirloin,334,tradicional,engorda_corral,alta,alta,"5,13",14,267
2022-08-07,Oaxaca,costilla,220,tradicional,pastoreo,alta,alta,"5,37",36,165
2024-01-22,Sonora,arrachera,316,supermercado,mixto,media,baja,"6,38",18,52
2022-11-21,Guanajuato,carne_molida,216,digital,pastoreo,muy_alta,baja,"4,45",14,194
2024-10-03,Michoacán,bistec,192,digital,pastoreo,baja,alta,"6,13",28,69
2023-05-30,Sinaloa,sirloin,346,digital,engorda_corral,baja,media,"7,84",26,248
2023-12-23,Nuevo León,costilla,275,central_abasto,mixto,alta,baja,"8,29",25,53
2021-06-07,Veracruz,arrachera,264,central_abasto,mixto,muy_alta,alta,"8,17",11,170
2024-02-08,Veracruz,sirloin,289,digital,pastoreo,media,media,"8,41",19,60
2023-03-10,Sinaloa,costilla,247,digital,engorda_corral,media,media,"8,5",37,73
2021-01-08,Puebla,costilla,279,central_abasto,engorda_corral,muy_alta,media,"8,11",33,269
2023-01-15,CDMX,sirloin,336,digital,pastoreo,alta,baja,"8,13",29,243
2023-04-27,Veracruz,arrachera,273,central_abasto,pastoreo,baja,baja,"4,06",16,237
2021-02-15,Chiapas,arrachera,299,digital,engorda_corral,media,media,"4,49",12,165
2024-06-16,Yucatán,sirloin,359,supermercado,pastoreo,muy_alta,baja,"7,94",15,72
